Altium Designer Pick and Place Locations
C:\Source\x_pmu\x_pmu\Project Outputs for x_pmu_project\Pick Place for x_pmu_board.csv

========================================================================================================================
File Design Information:

Date:       10/07/20
Time:       14:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","JLCPCB"
"C826","100nF (104) 10% 16V","TopLayer","0402_C","35.7550mm","37.1000mm","90","????",""
"C825","100nF (104) 10% 16V","TopLayer","0402_C","35.6550mm","44.2000mm","270","????",""
"C824","100nF (104) 10% 16V","TopLayer","0402_C","36.4550mm","49.0000mm","180","????",""
"C823","100nF (104) 10% 16V","TopLayer","0402_C","35.8550mm","57.1000mm","270","????",""
"C822","100nF (104) 10% 16V","TopLayer","0402_C","30.6550mm","62.5000mm","270","????",""
"C821","100nF (104) 10% 16V","TopLayer","0402_C","24.1550mm","62.4000mm","270","????",""
"C820","100nF (104) 10% 16V","TopLayer","0402_C","19.1550mm","62.5000mm","270","????",""
"C819","100nF (104) 10% 16V","TopLayer","0402_C","12.2550mm","62.1000mm","360","????",""
"C818","100nF (104) 10% 16V","TopLayer","0402_C","6.6550mm","55.0000mm","90","????",""
"C817","100nF (104) 10% 16V","TopLayer","0402_C","6.6550mm","51.9000mm","270","????",""
"C816","100nF (104) 10% 16V","TopLayer","0402_C","6.2550mm","47.4000mm","360","????",""
"C815","100nF (104) 10% 16V","TopLayer","0402_C","6.3550mm","40.4000mm","360","????",""
"C814","100nF (104) 10% 16V","TopLayer","0402_C","12.4550mm","32.4000mm","90","????",""
"C813","100nF (104) 10% 16V","TopLayer","0402_C","19.3550mm","32.9000mm","180","????",""
"C812","100nF (104) 10% 16V","TopLayer","0402_C","23.9550mm","32.3000mm","90","????",""
"C811","100nF (104) 10% 16V","TopLayer","0402_C","30.2300mm","32.9000mm","180","????",""
"R921","470O (4700) ±1%","TopLayer","0402_R","26.1050mm","65.2000mm","270","????",""
"R920","2.2KO (2201) ±1%","TopLayer","0402_R","27.5050mm","65.2000mm","270","????",""
"R919","2.2KO (2201) ±1%","TopLayer","0402_R","28.9050mm","65.2000mm","90","????",""
"R104","49.9O (49R9) ±1%","TopLayer","0402_R","32.4550mm","32.9000mm","360","????",""
"R102","49.9O (49R9) ±1%","TopLayer","0402_R","37.2550mm","37.1750mm","270","????",""
"R101","49.9O (49R9) ±1%","TopLayer","0402_R","38.7550mm","37.2000mm","270","????",""
"C101","100nF(104) 10% 50V","TopLayer","0805_C","45.6550mm","12.7000mm","360","????",""
"C102","10uF (106) 10% 50V","TopLayer","1206_C","23.0950mm","14.4700mm","90","????",""
"Y800","25MHZ 12PF 10PPM","TopLayer","SMD-3225_4P","2.9550mm","44.6000mm","270","????",""
"X500","8.192MHZ","TopLayer","7050_Clock","55.0747mm","43.0000mm","270","SMD OSCILLATORS(XO) 8.192MHZ ±20PPM SMD-7050_4P ROHS",""
"VR102","AMS1117-3.3","TopLayer","SOT-223","39.6550mm","22.6000mm","90","???????(LDO)",""
"U900","DP83848CVVX","TopLayer","LQFP-48_7x7x05P","34.4050mm","72.8000mm","180","????",""
"U803","BMP280","TopLayer","BOSC-LGA-8_V_LARGE","28.4550mm","84.1000mm","270","Digital Pressure Sensor, 1.71 to 3.6 V, -40 to 85 degC, 8-Pin LGA, RoHS, Tape and Reel",""
"U802","W25Q128JVSIQTR","TopLayer","SOIC-8_208mil","5.5550mm","29.1000mm","270","Flash ROM",""
"U801","W25Q128JVSIQTR","TopLayer","SOIC-8_208mil","5.5550mm","21.5000mm","270","Flash ROM",""
"U800","STM32H743IIT6","TopLayer","Quad176","21.1550mm","47.4500mm","0","ST MICROELECTRONICS LQFP-176_24X24X05P ROHS",""
"U502","STM32F030F4P6","TopLayer","TSSOP-20","64.1550mm","39.7000mm","270","ARM",""
"U101","SMF05CT1G","TopLayer","SC-70-6(SOT-363)","14.7550mm","11.1000mm","270","TVS",""
"R918","330O (3300) ±1%","TopLayer","0603_R","23.1550mm","75.4000mm","180","????",""
"R917","330O (3300) ±1%","TopLayer","0603_R","23.1550mm","77.2000mm","180","????",""
"R916","49.9O (49R9) ±1%","TopLayer","0402_R","36.7050mm","66.7000mm","90","????",""
"R915","1KO (1001) ±1%","TopLayer","0402_R","32.9800mm","64.8000mm","360","????",""
"R914","2.2KO (2201) ±1%","TopLayer","0402_R","30.3800mm","66.5750mm","270","????",""
"R913","2.2KO (2201) ±1%","TopLayer","0402_R","31.6800mm","66.5750mm","270","????",""
"R912","2.2KO (2201) ±1%","TopLayer","0402_R","32.9800mm","66.5750mm","270","????",""
"R911","1KO (1001) ±1%","TopLayer","0402_R","40.7050mm","71.6000mm","180","????",""
"R910","2.2KO (2201) ±1%","TopLayer","0402_R","27.0300mm","72.8750mm","180","????",""
"R909","2.2KO (2201) ±1%","TopLayer","0402_R","27.0300mm","71.5750mm","180","????",""
"R908","1KO (1001) ±1%","TopLayer","0402_R","40.7050mm","70.3000mm","180","????",""
"R907","49.9O (49R9) ±1%","TopLayer","0402_R","23.4550mm","70.2000mm","90","????",""
"R906","49.9O (49R9) ±1%","TopLayer","0402_R","23.4550mm","68.1250mm","270","????",""
"R905","49.9O (49R9) ±1%","TopLayer","0402_R","22.2050mm","72.4500mm","90","????",""
"R904","49.9O (49R9) ±1%","TopLayer","0402_R","22.2050mm","70.3750mm","270","????",""
"R903","1KO (1001) ±1%","TopLayer","0402_R","33.8550mm","79.4000mm","270","????",""
"R902","49.9O (49R9) ±1%","TopLayer","0402_R","35.3050mm","79.4000mm","270","????",""
"R901","49.9O (49R9) ±1%","TopLayer","0402_R","36.6050mm","79.4000mm","270","????",""
"R900","49.9O (49R9) ±1%","TopLayer","0402_R","37.9550mm","79.4000mm","270","????",""
"R822","0O (0R0) ±1%","TopLayer","0402_R","25.6550mm","32.3000mm","90","????",""
"R821","4.7KO (4701) ±1%","TopLayer","0402_R","30.3800mm","80.7000mm","180","????",""
"R820","4.7KO (4701) ±1%","TopLayer","0402_R","27.9550mm","80.7000mm","360","????",""
"R819","4.7KO (4701) ±1%","TopLayer","0402_R","27.9550mm","79.3000mm","360","????",""
"R818","4.7KO (4701) ±1%","TopLayer","0402_R","30.3620mm","79.3000mm","180","????",""
"R814","4.7KO (4701) ±1%","TopLayer","0402_R","4.5550mm","25.7000mm","360","????",""
"R813","4.7KO (4701) ±1%","TopLayer","0402_R","11.0550mm","30.4000mm","90","????",""
"R811","49.9O (49R9) ±1%","TopLayer","0402_R","17.0800mm","32.4000mm","90","????",""
"R810","49.9O (49R9) ±1%","TopLayer","0402_R","15.6800mm","32.4000mm","90","????",""
"R809","49.9O (49R9) ±1%","TopLayer","0402_R","14.2800mm","32.4000mm","90","????",""
"R808","4.7KO (4701) ±1%","TopLayer","0402_R","3.6550mm","18.1000mm","360","????",""
"R807","4.7KO (4701) ±1%","TopLayer","0402_R","11.0550mm","22.7000mm","90","????",""
"R801","0O (0R0) ±1%","TopLayer","0402_R","35.7550mm","51.9000mm","90","????",""
"R800","1KO (1001) ±1%","TopLayer","0402_R","14.5550mm","62.1000mm","180","????",""
